,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Room Size:26 sq m(279 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Electronic check-out,"['Electronic check-out', 'Express Check-In/Check-Out', 'Check']",['Electronic check-out'],['Electronic check-out'],['Electronic check-out']
In-room safe (laptop compatible),"['In-room safe (laptop compatible)', 'Connection for laptop', 'In room safe', 'In-room safe']",['In-room safe (laptop compatible)'],['In-room safe (laptop compatible)'],['In-room safe (laptop compatible)']
Business Class Room,['Business Class Room'],['Business Class Room'],['Business Class Room'],['Business Class Room']
Laser Light Show With Music,['Laser Light Show With Music'],['Laser Light Show With Music'],['Laser Light Show With Music'],['Laser Light Show With Music']
Room Size:116 sq m(1248 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', '306 Sq Mt', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Continental Breakfast,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast buffet', 'breakfast', 'Complimentary Breakfast', 'Continental breakfast']","['Continental Breakfast', 'Breakfast Buffet', 'Breakfast buffet', 'breakfast', 'Continental breakfast']","['Continental Breakfast', 'Continental breakfast']","['Continental Breakfast', 'Continental breakfast']"
Express Check-In/Check-Out,"['Private check in/out', 'Electronic check-out', 'Express Check-In/Check-Out', 'Check', 'Check-Out Time is 12 Noon', 'Express check in/out', 'Express check-out', 'Express check-in']","['Private check in/out', 'Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']","['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']","['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out']"
Room Size:19 sq m(200 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', '100-200 Sq.Feet', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Greater than 200 Sq. Feet', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room size (square meters)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Desk,"['Desk', 'Information desk', 'Concierge desk', 'Front desk']","['Desk', 'Front desk']",['Desk'],['Desk']
Grocery store,"['Grocery store', 'Grocery', 'Grocery/convenience store']","['Grocery store', 'Grocery', 'Grocery/convenience store']","['Grocery store', 'Grocery', 'Grocery/convenience store']",['Grocery store']
Designated smoking areas (fines apply),"['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Smoke-free property (fines apply)', 'Designated smoking areas']","['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']",['Designated smoking areas (fines apply)'],['Designated smoking areas (fines apply)']
Ceiling fan,"['Ceiling fan', 'Ceiling Fan']","['Ceiling fan', 'Ceiling Fan']","['Ceiling fan', 'Ceiling Fan']","['Ceiling fan', 'Ceiling Fan']"
Attached bathroom in all the rooms,"['Attached bathroom in all the rooms', 'Attached Bathroom', 'Lobby in the guest house', 'Breakfast in the Room', 'Well appointed bathrooms with high preassure hot and cold water and a complete range of toiletries', 'Living Room and Bed Room', 'Toiletries in the Bathroom', 'Breakfast in the room', 'In-room massage available', 'In room safe', 'Separate living room', 'Sofa in the room', 'A suite with terrace and Fire Place', 'In-room safe (some rooms)', 'Geyser in the Bathroom', 'Multiple small meeting rooms', 'Separate dining room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'Toiletries In The Bathroom', 'Non-smoking rooms and areas', 'In-room safe']","['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Breakfast in the room', 'In room safe', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'Shared bathroom with sink in room', 'In-room safe']","['Attached bathroom in all the rooms', 'In-room safe (some rooms)']",['Attached bathroom in all the rooms']
Pod docking station,"['Pod docking station', 'MP3 docking station']",['Pod docking station'],['Pod docking station'],['Pod docking station']
